id,fingerprint,brand_name,product_name,quantity,category
2872,"eastern|coriander powder perfect colour smell taste|100g",eastern,coriander powder perfect colour smell taste,100g,"Foodgrains, Oil & Masala"
2873,"eastern|coriander powder perfect colour smell taste|250g",eastern,coriander powder perfect colour smell taste,250g,"Foodgrains, Oil & Masala"
2874,"bb royal|chilli guntur stemless|500g",bb royal,chilli guntur stemless,500g,"Foodgrains, Oil & Masala"
2875,"bb royal|red chilli stemless|100g",bb royal,red chilli stemless,100g,"Foodgrains, Oil & Masala"
2876,"bb royal|red chilli stemless|200g",bb royal,red chilli stemless,200g,"Foodgrains, Oil & Masala"
2877,"sakthi|powder coriander|200g",sakthi,powder coriander,200g,"Foodgrains, Oil & Masala"
2878,"sakthi|powder coriander|100g",sakthi,powder coriander,100g,"Foodgrains, Oil & Masala"
2879,"sakthi|coriander powder|500g",sakthi,coriander powder,500g,"Foodgrains, Oil & Masala"
2880,"mtr|powder coriander|100g",mtr,powder coriander,100g,"Foodgrains, Oil & Masala"
2881,"mtr|powder coriander|200g",mtr,powder coriander,200g,"Foodgrains, Oil & Masala"
2882,"mtr|coriander powder|250g",mtr,coriander powder,250g,"Foodgrains, Oil & Masala"
2883,"mtr|powder coriander|500g",mtr,powder coriander,500g,"Foodgrains, Oil & Masala"
2884,"bb royal|organic coriander powder|200g",bb royal,organic coriander powder,200g,"Foodgrains, Oil & Masala"
2885,"bb royal|organic coriander powder|100g",bb royal,organic coriander powder,100g,"Foodgrains, Oil & Masala"
2886,"bb royal|organic coriander powder|500g",bb royal,organic coriander powder,500g,"Foodgrains, Oil & Masala"
2887,"fresho!|coriander leaves chopped|100g",fresho!,coriander leaves chopped,100g,Fruits & Vegetables
2888,"natureland organics|coriander whole|75g",natureland organics,coriander whole,75g,"Foodgrains, Oil & Masala"
2889,"everest|kashmirilal ground chilli powder|100g",everest,kashmirilal ground chilli powder,100g,"Foodgrains, Oil & Masala"
2890,"everest|powder kashmirilal chilli|50g",everest,powder kashmirilal chilli,50g,"Foodgrains, Oil & Masala"
